wine_type,wine_category,food_item,cuisine,pairing_quality,description
Nebbiolo,Red,beef stew,Korean,2,Heuristic pairing assessment.
Madeira,Fortified,chocolate mousse,Korean,2,Heuristic pairing assessment.
Madeira,Fortified,chocolate mousse,Indian,3,Heuristic pairing assessment.
Ice Wine,Dessert,mac and cheese,Italian,2,Heuristic pairing assessment.
Pinot Noir,Red,roast chicken with herbs,Middle Eastern,5,Lighter wines fit poultry.
Nebbiolo,Red,fish tacos,Greek,1,Deliberately bad pairing example for contrast.
Torrontés,White,Sichuan noodles,Chinese (Sichuan),2,Heuristic pairing assessment.
Nebbiolo,Red,carbonara,Japanese,2,Too lean for creamy dish.
Chardonnay,White,chicken curry,French,4,Lighter wines fit poultry.
Ice Wine,Dessert,pork tenderloin,Argentinian,5,Idealized perfect pairing example for contrast.
Sangiovese,Red,caprese salad,American BBQ,4,Heuristic pairing assessment.
Viognier,White,chicken curry,Thai,4,Lighter wines fit poultry.
Nebbiolo,Red,oysters,Italian,1,Tannic reds clash with delicate seafood.
Sauvignon Blanc,White,mac and cheese,Indian,3,Heuristic pairing assessment.
Grüner Veltliner,White,vegetable curry,Japanese,4,Heuristic pairing assessment.
Sauvignon Blanc,White,carbonara,Mexican,2,Too lean for creamy dish.
Gamay,Red,roast lamb,Moroccan,1,Delicate wine overwhelmed by red meat.
Albariño,White,sorbet,Greek,2,Dry table wine clashes with dessert sweetness.
Nebbiolo,Red,Thai curry,Greek,3,Heuristic pairing assessment.
Sauvignon Blanc,White,vegetable curry,Mexican,2,Heuristic pairing assessment.
Port,Fortified,cheese platter,Ethiopian,3,Heuristic pairing assessment.
Grenache,Red,alfredo pasta,Mexican,3,Too lean for creamy dish.
Nebbiolo,Red,fish tacos,Spanish,2,Tannic reds clash with delicate seafood.
Gewürztraminer,White,fondue,Greek,3,Heuristic pairing assessment.
Grüner Veltliner,White,vegetable curry,Italian,2,Heuristic pairing assessment.
Nebbiolo,Red,grilled ribeye,Chinese (Sichuan),2,Heuristic pairing assessment.
Sauternes,Dessert,shrimp scampi,Indian,2,Tannic reds clash with delicate seafood.
Ice Wine,Dessert,roast chicken with herbs,Argentinian,3,Heavy wine can dominate poultry.
Grüner Veltliner,White,lemon tart,Korean,3,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.
Grüner Veltliner,White,alfredo pasta,Japanese,1,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,cream of mushroom soup,American BBQ,1,Too lean for creamy dish.
Madeira,Fortified,sorbet,American BBQ,3,Heuristic pairing assessment.
Sauternes,Dessert,grilled salmon,Japanese,3,Tannic reds clash with delicate seafood.
Grenache,Red,alfredo pasta,Korean,5,Idealized perfect pairing example for contrast.
Grenache,Red,roast lamb,Indian,3,Delicate wine overwhelmed by red meat.
Ice Wine,Dessert,stir-fried tofu,Korean,2,Heuristic pairing assessment.
Gamay,Red,fish tacos,Indian,2,Tannic reds clash with delicate seafood.
Sauternes,Dessert,carbonara,Thai,3,Richer body matches creamy textures.
Ice Wine,Dessert,grilled salmon,Vietnamese,1,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,sorbet,Chinese (Sichuan),1,Dry table wine clashes with dessert sweetness.
Zinfandel,Red,cheese platter,Vietnamese,2,Heuristic pairing assessment.
Albariño,White,chocolate mousse,Vietnamese,2,Dry table wine clashes with dessert sweetness.
Sauternes,Dessert,stir-fried tofu,German,2,Heuristic pairing assessment.
Ice Wine,Dessert,mushroom risotto,Vietnamese,4,Heuristic pairing assessment.
Albariño,White,vegetable curry,German,2,Heuristic pairing assessment.
Zinfandel,Red,bbq ribs,German,3,Heuristic pairing assessment.
Torrontés,White,gazpacho,Italian,3,Acidic wine balances acidic food.
Riesling,White,caprese salad,Middle Eastern,5,Idealized perfect pairing example for contrast.
Chardonnay,White,bacon burger,Argentinian,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,shrimp scampi,Greek,2,Tannic reds clash with delicate seafood.
Ice Wine,Dessert,vegetable curry,Moroccan,2,Heuristic pairing assessment.
Grüner Veltliner,White,vegetable curry,Ethiopian,2,Heuristic pairing assessment.
Cabernet Sauvignon,Red,roast lamb,Vietnamese,4,Tannic red complements red meat fat.
Cabernet Sauvignon,Red,bbq brisket,Ethiopian,3,Tannic red complements red meat fat.
Grüner Veltliner,White,grilled salmon,Italian,5,Crisp acidity suits seafood.
Sauternes,Dessert,pork tenderloin,French,4,Heuristic pairing assessment.
Viognier,White,pork tenderloin,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Nebbiolo,Red,Sichuan noodles,French,2,Heuristic pairing assessment.
Gewürztraminer,White,Indian vindaloo,Korean,5,Idealized perfect pairing example for contrast.
Nebbiolo,Red,bacon burger,Thai,3,Heuristic pairing assessment.
Sauternes,Dessert,duck à l’orange,Middle Eastern,4,Heuristic pairing assessment.
Pinot Noir,Red,fondue,Ethiopian,2,Heuristic pairing assessment.
White Zinfandel,Rosé,beef stew,Thai,3,Heuristic pairing assessment.
Madeira,Fortified,beef stew,Spanish,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,mac and cheese,French,5,Idealized perfect pairing example for contrast.
Port,Fortified,fondue,Korean,2,Heuristic pairing assessment.
Port,Fortified,mac and cheese,Chinese (Sichuan),3,Heuristic pairing assessment.
Sauternes,Dessert,chocolate mousse,Spanish,4,Sweet/sparkling pairs with dessert.
Ice Wine,Dessert,mac and cheese,German,3,Heuristic pairing assessment.
Sauternes,Dessert,bacon burger,Vietnamese,3,Heuristic pairing assessment.
Grenache,Red,pork tenderloin,Argentinian,1,Deliberately bad pairing example for contrast.
Chardonnay,White,fondue,Indian,4,Heuristic pairing assessment.
Malbec,Red,bbq brisket,Ethiopian,5,Tannic red complements red meat fat.
Albariño,White,cream of mushroom soup,French,1,Too lean for creamy dish.
Ice Wine,Dessert,grilled burger,Spanish,4,Heuristic pairing assessment.
Merlot,Red,olives and cheese,Japanese,3,Heuristic pairing assessment.
Ice Wine,Dessert,carbonara,American BBQ,4,Richer body matches creamy textures.
Zinfandel,Red,fondue,German,1,Deliberately bad pairing example for contrast.
Syrah,Red,roast lamb,Spanish,5,Tannic red complements red meat fat.
Sauternes,Dessert,mushroom risotto,Vietnamese,4,Heuristic pairing assessment.
Sangiovese,Red,mac and cheese,Chinese (Sichuan),3,Heuristic pairing assessment.
Grüner Veltliner,White,stir-fried tofu,Thai,3,Heuristic pairing assessment.
Port,Fortified,roast lamb,Ethiopian,1,Deliberately bad pairing example for contrast.
Merlot,Red,pork tenderloin,Korean,3,Light/medium red suits richer poultry/pork.
Chardonnay,White,chicken curry,Japanese,3,Lighter wines fit poultry.
Albariño,White,mushroom risotto,Mexican,4,Heuristic pairing assessment.
Albariño,White,shrimp scampi,French,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,chocolate mousse,Ethiopian,5,Sweet/sparkling pairs with dessert.
Merlot,Red,carbonara,Thai,1,Too lean for creamy dish.
Ice Wine,Dessert,mushroom risotto,Indian,3,Heuristic pairing assessment.
Grüner Veltliner,White,grilled ribeye,Moroccan,3,Heuristic pairing assessment.
Syrah,Red,smoked sausage,German,5,Idealized perfect pairing example for contrast.
Gamay,Red,fondue,Italian,3,Heuristic pairing assessment.
Grenache,Red,alfredo pasta,Indian,1,Too lean for creamy dish.
Malbec,Red,roast lamb,Moroccan,5,Tannic red complements red meat fat.
Sauternes,Dessert,bbq ribs,Korean,5,Idealized perfect pairing example for contrast.
Merlot,Red,bacon burger,Greek,4,Heuristic pairing assessment.
Chardonnay,White,cream of mushroom soup,Mexican,3,Richer body matches creamy textures.
Chardonnay,White,alfredo pasta,Ethiopian,4,Richer body matches creamy textures.
Zinfandel,Red,grilled burger,Thai,2,Heuristic pairing assessment.
Ice Wine,Dessert,chocolate mousse,Italian,4,Sweet/sparkling pairs with dessert.
Sangiovese,Red,duck à l’orange,Indian,3,Light/medium red suits richer poultry/pork.
Port,Fortified,cheese platter,French,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,roast chicken with herbs,Korean,2,Heavy wine can dominate poultry.
Grenache,Red,bacon burger,German,2,Heuristic pairing assessment.
Sangiovese,Red,vegetable curry,Ethiopian,3,Heuristic pairing assessment.
Grenache,Red,mixed nuts,Vietnamese,2,Heuristic pairing assessment.
Grüner Veltliner,White,mac and cheese,Middle Eastern,2,Heuristic pairing assessment.
Sangiovese,Red,duck à l’orange,Japanese,3,Light/medium red suits richer poultry/pork.
Cabernet Sauvignon,Red,bbq brisket,Italian,3,Tannic red complements red meat fat.
Chardonnay,White,mac and cheese,Ethiopian,5,Idealized perfect pairing example for contrast.
Port,Fortified,sorbet,Spanish,2,Heuristic pairing assessment.
Sauternes,Dessert,fish tacos,Greek,2,Tannic reds clash with delicate seafood.
Sauternes,Dessert,mushroom risotto,Italian,2,Heuristic pairing assessment.
Madeira,Fortified,cheesecake,Greek,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,duck à l’orange,Spanish,4,Heuristic pairing assessment.
Pinot Noir,Red,stir-fried tofu,Spanish,2,Heuristic pairing assessment.
Nebbiolo,Red,grilled ribeye,American BBQ,3,Heuristic pairing assessment.
Ice Wine,Dessert,mixed nuts,American BBQ,4,Heuristic pairing assessment.
Sauternes,Dessert,sorbet,Mexican,5,Sweet/sparkling pairs with dessert.
Champagne,Sparkling,oysters,Italian,5,Crisp acidity suits seafood.
Sauternes,Dessert,roast chicken with herbs,Mexican,2,Heavy wine can dominate poultry.
Ice Wine,Dessert,cheesecake,Greek,5,Sweet/sparkling pairs with dessert.
Chardonnay,White,bbq brisket,Korean,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,olives and cheese,Ethiopian,5,Idealized perfect pairing example for contrast.
Sauternes,Dessert,bbq ribs,Vietnamese,3,Heuristic pairing assessment.
Champagne,Sparkling,oysters,German,3,Crisp acidity suits seafood.
Champagne,Sparkling,charcuterie board,American BBQ,3,Heuristic pairing assessment.
Pinot Noir,Red,caprese salad,Indian,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,mushroom risotto,American BBQ,2,Heuristic pairing assessment.
Champagne,Sparkling,fish tacos,Thai,5,Crisp acidity suits seafood.
Sauternes,Dessert,stir-fried tofu,Japanese,4,Heuristic pairing assessment.
Albariño,White,lemon tart,Argentinian,3,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.
Grüner Veltliner,White,vegetable curry,Mexican,2,Heuristic pairing assessment.
Albariño,White,sorbet,Korean,3,Dry table wine clashes with dessert sweetness.
Viognier,White,bacon burger,Greek,2,Heuristic pairing assessment.
Grüner Veltliner,White,cheesecake,Japanese,1,Dry table wine clashes with dessert sweetness.
Syrah,Red,roast lamb,Indian,5,Tannic red complements red meat fat.
Champagne,Sparkling,beef stew,American BBQ,4,Heuristic pairing assessment.
Nebbiolo,Red,grilled salmon,Japanese,2,Tannic reds clash with delicate seafood.
Madeira,Fortified,lemon tart,Indian,5,Acidic wine balances acidic food.
Syrah,Red,beef stew,Chinese (Sichuan),3,Heuristic pairing assessment.
Nebbiolo,Red,beef stew,Vietnamese,4,Heuristic pairing assessment.
Chardonnay,White,roast chicken with herbs,French,3,Lighter wines fit poultry.
Viognier,White,mac and cheese,Middle Eastern,4,Heuristic pairing assessment.
Pinot Noir,Red,mushroom risotto,French,2,Heuristic pairing assessment.
Albariño,White,sorbet,Spanish,2,Dry table wine clashes with dessert sweetness.
Sauternes,Dessert,grilled burger,Greek,2,Heuristic pairing assessment.
Cava,Sparkling,grilled salmon,Vietnamese,3,Crisp acidity suits seafood.
Champagne,Sparkling,shrimp scampi,Argentinian,4,Crisp acidity suits seafood.
Riesling,White,Thai curry,Vietnamese,4,Heuristic pairing assessment.
Nebbiolo,Red,cheese platter,Japanese,5,Idealized perfect pairing example for contrast.
Chardonnay,White,duck à l’orange,Moroccan,4,Heuristic pairing assessment.
Ice Wine,Dessert,vegetable curry,Chinese (Sichuan),2,Heuristic pairing assessment.
Torrontés,White,Sichuan noodles,Argentinian,1,Deliberately bad pairing example for contrast.
Cava,Sparkling,roast lamb,Korean,2,Delicate wine overwhelmed by red meat.
Nebbiolo,Red,Thai curry,Italian,3,Heuristic pairing assessment.
Malbec,Red,grilled burger,Italian,2,Heuristic pairing assessment.
Grüner Veltliner,White,chocolate mousse,Thai,2,Dry table wine clashes with dessert sweetness.
Port,Fortified,cheese platter,Spanish,3,Heuristic pairing assessment.
Grenache,Red,carbonara,Italian,3,Too lean for creamy dish.
Grenache,Red,mixed nuts,French,2,Heuristic pairing assessment.
Viognier,White,carbonara,Greek,5,Richer body matches creamy textures.
Albariño,White,shrimp scampi,Vietnamese,5,Crisp acidity suits seafood.
Grenache,Red,cream of mushroom soup,American BBQ,2,Too lean for creamy dish.
Grüner Veltliner,White,chocolate mousse,Indian,2,Dry table wine clashes with dessert sweetness.
Nebbiolo,Red,fondue,Italian,4,Heuristic pairing assessment.
Nebbiolo,Red,bacon burger,Moroccan,2,Heuristic pairing assessment.
Merlot,Red,carbonara,German,1,Too lean for creamy dish.
Ice Wine,Dessert,smoked sausage,Moroccan,4,Heuristic pairing assessment.
Port,Fortified,fondue,Thai,2,Heuristic pairing assessment.
Albariño,White,carbonara,Chinese (Sichuan),1,Too lean for creamy dish.
Merlot,Red,olives and cheese,Chinese (Sichuan),3,Heuristic pairing assessment.
Chardonnay,White,chicken curry,German,1,Deliberately bad pairing example for contrast.
Grenache,Red,charcuterie board,Ethiopian,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,bbq brisket,Chinese (Sichuan),5,Tannic red complements red meat fat.
Riesling,White,Sichuan noodles,Middle Eastern,4,Heuristic pairing assessment.
Cabernet Sauvignon,Red,smoked sausage,Argentinian,2,Heuristic pairing assessment.
Merlot,Red,pork tenderloin,Greek,4,Light/medium red suits richer poultry/pork.
Grenache,Red,mixed nuts,Greek,2,Heuristic pairing assessment.
Chenin Blanc,White,citrus salad,Ethiopian,4,Acidic wine balances acidic food.
Sauternes,Dessert,smoked sausage,Thai,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,grilled salmon,American BBQ,1,Tannic reds clash with delicate seafood.
Malbec,Red,bbq brisket,Ethiopian,3,Tannic red complements red meat fat.
Chardonnay,White,bacon burger,Spanish,1,Deliberately bad pairing example for contrast.
Riesling,White,fondue,French,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,bbq ribs,Japanese,3,Heuristic pairing assessment.
Cava,Sparkling,charcuterie board,Indian,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,cheese platter,Ethiopian,4,Heuristic pairing assessment.
Malbec,Red,beef stew,Thai,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,beef stew,Argentinian,2,Heuristic pairing assessment.
Cabernet Sauvignon,Red,grilled burger,German,3,Heuristic pairing assessment.
Nebbiolo,Red,cream of mushroom soup,Korean,5,Idealized perfect pairing example for contrast.
Sauternes,Dessert,mixed nuts,Middle Eastern,2,Heuristic pairing assessment.
Sauternes,Dessert,mushroom risotto,Japanese,3,Heuristic pairing assessment.
Ice Wine,Dessert,bacon burger,Mexican,2,Heuristic pairing assessment.
Ice Wine,Dessert,shrimp scampi,Indian,2,Tannic reds clash with delicate seafood.
White Zinfandel,Rosé,citrus salad,American BBQ,2,Low-acid wine seems flabby vs acids.
Pinot Noir,Red,duck à l’orange,Ethiopian,4,Light/medium red suits richer poultry/pork.
Zinfandel,Red,grilled ribeye,Mexican,2,Heuristic pairing assessment.
Grenache,Red,mixed nuts,American BBQ,4,Heuristic pairing assessment.
Madeira,Fortified,fondue,Thai,3,Heuristic pairing assessment.
Chardonnay,White,pork tenderloin,Moroccan,3,Heuristic pairing assessment.
Chenin Blanc,White,beef stew,Mexican,3,Heuristic pairing assessment.
Chardonnay,White,roast chicken with herbs,American BBQ,3,Lighter wines fit poultry.
Sauvignon Blanc,White,alfredo pasta,Chinese (Sichuan),1,Deliberately bad pairing example for contrast.
Viognier,White,cheese platter,Argentinian,3,Heuristic pairing assessment.
Albariño,White,cream of mushroom soup,Indian,2,Too lean for creamy dish.
Ice Wine,Dessert,shrimp scampi,Thai,2,Tannic reds clash with delicate seafood.
Champagne,Sparkling,beef stew,Spanish,2,Heuristic pairing assessment.
Torrontés,White,Sichuan noodles,Greek,5,Idealized perfect pairing example for contrast.
Sangiovese,Red,chicken curry,Mexican,2,Heavy wine can dominate poultry.
Nebbiolo,Red,beef stew,Middle Eastern,2,Heuristic pairing assessment.
Ice Wine,Dessert,grilled salmon,Moroccan,1,Deliberately bad pairing example for contrast.
Gamay,Red,fish tacos,American BBQ,1,Deliberately bad pairing example for contrast.
Chardonnay,White,mac and cheese,Ethiopian,2,Heuristic pairing assessment.
Merlot,Red,pork tenderloin,Italian,1,Deliberately bad pairing example for contrast.
Port,Fortified,cheese platter,Middle Eastern,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,shrimp scampi,Ethiopian,3,Tannic reds clash with delicate seafood.
Grenache,Red,olives and cheese,Spanish,4,Heuristic pairing assessment.
Grüner Veltliner,White,sorbet,Greek,2,Dry table wine clashes with dessert sweetness.
Sangiovese,Red,fondue,Japanese,3,Heuristic pairing assessment.
Pinot Noir,Red,stir-fried tofu,Indian,2,Heuristic pairing assessment.
Chardonnay,White,duck à l’orange,Greek,2,Heuristic pairing assessment.
Sangiovese,Red,roast chicken with herbs,Korean,2,Heavy wine can dominate poultry.
Port,Fortified,cheese platter,Middle Eastern,3,Heuristic pairing assessment.
